xco,yco,ensemble,duration1_1980,duration1_2080,duration2_1980,duration2_2080,duration3_1980,duration3_2080,duration4_1980,duration4_2080,duration5_1980,duration5_2080,duration6_1980,duration6_2080,duration7_1980,duration7_2080,duration8_1980,duration8_2080,duration9_1980,duration9_2080
50,112,01,85164.0,94507.0,39077.0,42183.0,20319.0,22158.0,11289.0,12178.0,6416.0,6947.0,3581.0,4035.0,2109.0,2409.0,1172.0,1398.0,746.0,819.0
50,114,01,94861.0,111446.0,40446.0,45645.0,21648.0,24811.0,12190.0,13994.0,6670.0,7733.0,3915.0,4328.0,2135.0,2527.0,1283.0,1418.0,694.0,846.0
50,116,01,89232.0,91037.0,37657.0,38534.0,18792.0,19702.0,9757.0,10491.0,5272.0,5749.0,2891.0,3125.0,1624.0,1852.0,982.0,1062.0,573.0,626.0
50,118,01,78804.0,102289.0,32332.0,42566.0,16689.0,22155.0,8985.0,11987.0,4888.0,6558.0,2710.0,3592.0,1545.0,2043.0,847.0,1128.0,519.0,663.0
50,120,01,98350.0,115749.0,42901.0,50276.0,21183.0,25173.0,11082.0,12951.0,5947.0,7061.0,3294.0,3791.0,1848.0,2093.0,1038.0,1276.0,622.0,723.0
51,105,01,82620.0,89669.0,36422.0,37373.0,18658.0,18961.0,10160.0,10281.0,5861.0,5854.0,3515.0,3444.0,2159.0,2172.0,1414.0,1351.0,848.0,909.0
51,107,01,81267.0,72091.0,35568.0,30235.0,19443.0,16557.0,11392.0,9753.0,6886.0,5688.0,4385.0,3639.0,2649.0,2139.0,1693.0,1418.0,1099.0,964.0
51,109,01,81564.0,92579.0,36239.0,39613.0,19290.0,20995.0,10832.0,11585.0,6218.0,6768.0,3609.0,3906.0,2212.0,2327.0,1333.0,1420.0,828.0,871.0
51,111,01,101031.0,102636.0,45261.0,44465.0,23845.0,24142.0,13470.0,13648.0,7897.0,7934.0,4777.0,4865.0,2971.0,3017.0,1835.0,1898.0,1103.0,1079.0
51,113,01,80812.0,96241.0,34731.0,45658.0,17040.0,23630.0,9185.0,12701.0,4828.0,7204.0,2809.0,4034.0,1773.0,2403.0,975.0,1391.0,517.0,783.0
51,115,01,91774.0,87482.0,38734.0,35994.0,19950.0,18899.0,10655.0,10163.0,5811.0,5741.0,3319.0,3227.0,1913.0,1860.0,1069.0,1084.0,593.0,691.0
51,117,01,88852.0,112789.0,36376.0,45908.0,19503.0,24723.0,10792.0,13658.0,6072.0,7523.0,3350.0,4200.0,1904.0,2387.0,1062.0,1439.0,623.0,752.0
51,119,01,91433.0,88240.0,36393.0,36051.0,19282.0,19367.0,10635.0,10702.0,5983.0,5985.0,3392.0,3447.0,1844.0,2044.0,1134.0,1154.0,700.0,678.0
51,121,01,91925.0,91642.0,41472.0,41450.0,21057.0,21780.0,11336.0,11996.0,6301.0,6636.0,3651.0,3828.0,2123.0,2218.0,1263.0,1289.0,743.0,807.0
52,104,01,75830.0,67080.0,30617.0,29336.0,16840.0,15763.0,9845.0,8927.0,5946.0,5288.0,3377.0,3271.0,2246.0,1994.0,1411.0,1293.0,955.0,814.0
52,106,01,81829.0,74297.0,37294.0,32239.0,20658.0,17610.0,11605.0,10166.0,6907.0,6161.0,4177.0,3783.0,2460.0,2432.0,1489.0,1538.0,956.0,1014.0
52,108,01,92298.0,108620.0,38043.0,59493.0,20501.0,34448.0,11575.0,20590.0,6949.0,12172.0,4059.0,7263.0,2549.0,4558.0,1601.0,2848.0,1070.0,1807.0
52,110,01,90888.0,105691.0,40299.0,43720.0,22090.0,23616.0,12229.0,13467.0,7055.0,7852.0,4161.0,4798.0,2483.0,3049.0,1508.0,1921.0,933.0,1191.0
52,112,01,92230.0,85306.0,39448.0,35373.0,22128.0,20057.0,12613.0,11582.0,7303.0,6819.0,4328.0,3900.0,2562.0,2340.0,1488.0,1476.0,918.0,874.0
52,114,01,89970.0,110395.0,39274.0,46259.0,20378.0,25495.0,10898.0,13854.0,6094.0,7985.0,3421.0,4403.0,1854.0,2506.0,1048.0,1385.0,608.0,788.0
