xco,yco,ensemble,rp1_1980,rp1_2080,rp2_1980,rp2_2080,rp3_1980,rp3_2080,rp4_1980,rp4_2080,rp5_1980,rp5_2080,rp6_1980,rp6_2080,rp7_1980,rp7_2080,rp8_1980,rp8_2080,rp9_1980,rp9_2080,rp10_1980,rp10_2080
46,111,01,1.563193773894143,1.9402092022107873,6.794806694858211,8.098161348730553,11.405033968114134,13.461821435845817,15.181347069090267,17.978730452704657,19.16692701830516,22.5160480734302,24.46077722261433,28.87770245927851,28.359850789373073,33.2804190429984,32.18688429235521,37.65509313942298,37.41824859190702,43.659528884247486,41.34226993825056,48.80105986771258
46,113,01,1.7042752541154536,2.3220548056490524,7.0743169350577215,8.891672508385968,11.904281911029564,14.41097324949187,15.921968305103736,18.9901553008713,20.200986525468284,23.700710541970246,26.099782048229812,30.471545688730195,30.355854173327774,36.14053289658407,34.752838625682905,41.15747722403012,41.422444264470464,48.07787695436767,46.05447531319919,55.052484862735625
46,115,01,1.1614586560571813,1.319933230900447,5.809896972352771,6.880319518324279,10.199137987944866,12.067928190373099,13.846347080705897,16.23174607039111,17.6876035370828,20.650343181244114,23.033815026121495,26.797544526423593,27.180956749972793,31.673934674121504,31.207667175775498,35.78938988268622,36.82563902908097,42.62482403244688,40.90512751745811,47.44653049937517
46,117,01,1.0372896547276953,1.8952190348131,5.432895843932376,8.51412301806015,9.584052143745511,13.97882355717112,13.109040953072462,18.62390395660727,16.841495460306078,23.258703537558596,22.117305490884412,29.430035858909626,26.11559398020006,34.21828137366947,30.412566988278773,39.69756799409657,36.06795307481992,45.79999654432028,40.167331368624886,51.3040632638724
47,106,01,1.2477195796871827,1.434069191649375,6.439196683408221,7.327289581655901,11.573092819381465,13.299789893880742,16.226704621347213,18.59542671820192,21.03486493325073,24.339053529039543,27.871027282054996,31.80185433376716,32.66102671647877,38.12451700808158,37.837769833358024,44.157284684155975,45.87080386012544,53.681638476156195,50.8984088487576,59.51122803024749
47,108,01,1.466299165777996,1.3142916566588336,6.723052110351292,6.9461680364055844,11.911636153663023,12.539085363408017,16.331846619678593,17.394146821275505,20.923793607291703,22.568530346650142,27.558773440457266,29.470664420324017,33.021549820122125,35.19107647816078,38.24556160742742,40.35137691283971,45.19394311445596,46.70011496342771,49.7765405438341,51.18853350758811
47,110,01,1.3350338272934223,1.710816613440037,6.304984128815656,7.3131287519145385,10.880830853912618,12.339761187038679,14.620101407151463,16.423823107799834,18.62913354940211,20.822702105821524,23.775718772057672,26.542535977695806,27.690554464351155,30.497169144860006,31.66767765706297,35.10038568013782,36.20370664672361,40.05205047040998,39.18707165831422,44.229258172634744
47,112,01,1.4060890843686322,1.3455123776148015,6.624120804044921,7.157200784259457,11.498752733655596,12.75498199211774,15.623341213976282,17.259003642097117,19.747431599287083,22.11297695894826,25.770154252471116,28.87007391671632,30.191614994010145,33.511342427110264,34.963576199545976,38.78448981693565,40.74912437425908,45.61758154450973,45.57686788783748,49.69643337288582
47,114,01,1.1455695720079206,1.6110645489382083,5.856279283149533,7.582208428300419,10.355895599858659,13.015018474477829,14.160274748692855,17.616108669061582,18.3799067011674,22.450915666467303,24.759125937223168,29.213018074533487,29.590671139396093,34.432148443296654,34.382171831843735,40.21678622762265,41.134932353274294,47.44333720779104,46.8136712477556,52.33690554280176
47,116,01,1.6259828584085256,2.0377032608074472,6.87779130558103,8.932309520830533,11.596905158354875,14.640614911751543,15.5664870536955,19.44697798932606,19.688617984793073,24.401114959604296,25.39360432395336,30.939952050217407,29.817210745624344,35.88235112663767,33.921333244919886,41.27803141758473,40.00361170839969,47.222779417572454,43.92627593472598,51.98636792012208
