xco,yco,ensemble,tha1980,tha2020,tha2080
52,114,01,23.599010258026695,,29.67201434762111
52,116,01,23.994536659145627,,30.266357754327903
52,118,01,23.552304396727802,,30.143615573446958
52,120,01,23.391546462094507,,29.455557136768675
52,122,01,23.506918670163326,,29.113700270349245
52,124,01,23.26690389936137,,28.7784206862715
52,164,01,18.25864072267956,,22.16574562351507
53,107,01,23.911296399440978,,30.724471441516684
53,109,01,22.054795455294972,,27.924811843149218
53,111,01,23.357365183474943,,29.691115259480693
53,113,01,23.235089068010033,,30.384858198382304
53,115,01,22.891660162016016,,29.366269051010605
53,117,01,23.01253063538167,,29.89821015782683
53,119,01,22.544359919593617,,28.93176450487604
53,121,01,23.342625075831712,,29.488923927341823
53,123,01,23.265104607169295,,29.729011594353928
53,125,01,23.361316579457437,,28.782198547115723
54,110,01,23.06535682392475,,29.514712168991903
54,112,01,22.932245361479268,,29.49930728369692
54,114,01,22.960800304422055,,29.621069164689743
54,116,01,22.64894609772342,,29.28608628986188
54,118,01,22.602123379610394,,29.039769214330505
54,120,01,23.007131531690487,,29.13260517784133
54,122,01,23.147000519778697,,28.649980114569345
54,124,01,22.67745130648811,,27.806384815580227
54,167,01,19.641698987948697,,23.868664755443806
55,111,01,23.722943605849917,,30.228004078246855
55,113,01,22.910861742499602,,29.77517700474867
55,115,01,22.966822842407982,,29.63577758683452
55,117,01,22.805089875297977,,29.73695888971687
55,119,01,21.27797369100569,,27.489721745427374
55,121,01,23.214069789290043,,29.792074020530862
55,123,01,22.585905717732693,,28.117341602339785
55,168,01,19.766552011525597,,24.10005180211171
55,172,01,20.155880588425077,,24.239850934031125
55,174,01,20.025118622167156,,24.254765760389944
55,182,01,19.62104050189808,,23.307064361004695
56,111,01,23.022279682485067,,29.967944239157035
56,113,01,22.73813704343486,,29.074733352757622
56,115,01,22.39737931597757,,28.904799147027727
56,117,01,22.460264275405187,,29.10245572256917
56,119,01,21.58012374538209,,27.413202303866573
56,121,01,23.186631749230948,,29.143774275375872
56,123,01,22.470676357413325,,28.161762697468404
56,170,01,19.614874931344477,,23.84534635805731
56,172,01,20.320107486609814,,24.93757736671364
56,174,01,19.863943818715708,,23.681161653261917
56,176,01,19.798978290063527,,23.64802808578707
56,178,01,19.994908481946634,,24.14903133438015
56,180,01,20.56997944321652,,25.019230809642938
56,182,01,20.707230824545647,,25.046694043316293
57,107,01,23.915942098459162,,30.299667566467154
57,109,01,23.848955058560197,,30.69058963410454
57,111,01,23.54858795333761,,30.45331862820254
57,113,01,22.8528130344787,,29.527475388714382
57,115,01,22.64758071044456,,29.180393881190483
57,117,01,22.518442015082112,,28.79575097392511
57,119,01,20.895442308311512,,27.747399155254595
57,121,01,23.22796167197034,,29.6847065141768
57,123,01,23.579408280022314,,29.43336524030053
57,125,01,23.037453844946263,,28.47049917104805
57,170,01,18.948253367086497,,23.732025281066868
57,172,01,19.669530958938118,,23.92850816289777
57,174,01,18.84049745636724,,23.015315843965315
57,176,01,20.23341465929697,,24.158014904670992
57,178,01,20.67852559229337,,24.9340654943208
57,180,01,21.34637588834987,,25.381992239537666
57,182,01,21.33182221338503,,25.276415441409576
58,106,01,23.231404544043333,,29.864387670567012
58,108,01,23.92139810072574,,30.901428751818635
58,110,01,23.801474778542552,,30.402707334117437
58,112,01,23.595050564445522,,29.902232373577622
58,114,01,23.1952728631422,,30.37049247263218
58,116,01,22.920543769320314,,29.455688912150478
58,118,01,23.107494959974222,,28.910012309487268
58,120,01,21.561340791181287,,28.221866033982785
58,122,01,22.99494107526084,,28.859577383749585
58,124,01,23.726279413339686,,29.822932228733823
58,126,01,21.351835752629356,,26.960589184180577
58,177,01,19.571576654261467,,24.51306903465133
58,179,01,20.15142178531549,,24.866163766538698
58,181,01,20.85408226975979,,25.283609787943593
58,183,01,20.64348327741201,,24.516451341633122
59,106,01,23.180077707220946,,30.408393113288206
59,108,01,24.132563535242422,,31.01039425986155
59,110,01,23.919527505628174,,30.424119198886338
59,112,01,23.74638501033564,,30.322962721407304
59,114,01,23.282687674699304,,30.143514899586062
59,116,01,23.218042209281478,,30.36654647176056
59,118,01,23.442873192489003,,29.82151913497697
59,120,01,21.631055487878417,,27.047285143093188
59,122,01,22.165732252077895,,27.426954099456342
59,124,01,22.55521449541347,,27.94371439738979
59,126,01,21.375474166698623,,26.34358705330397
59,156,01,18.77717685090929,,23.12043384777508
59,180,01,19.667044821510032,,23.864737877318554
59,182,01,20.064448318055945,,23.82240965518967
60,103,01,23.084830885995338,,30.000097260360818
60,105,01,22.500409431745123,,28.799240691442506
60,107,01,23.733321932343788,,31.150978244740937
60,109,01,24.572047166554494,,31.276175410827946
60,111,01,24.013136610047788,,30.8006123893833
60,113,01,23.13187527499896,,29.53301602398973
60,115,01,23.66656593126098,,29.292757337422337
60,117,01,22.911561510075344,,29.147906236402136
60,119,01,23.7785239740296,,30.113641614894007
60,121,01,22.43644153767049,,28.314250856291185
60,123,01,23.040192050458263,,29.12789521184503
60,125,01,23.44179848780996,,29.292804435882683
60,127,01,22.006651306870886,,26.615396268563032
60,157,01,19.01317831583095,,24.66848190375832
60,186,01,19.59389556398899,,23.398630666394098
60,191,01,18.857939722946398,,22.95607829093775
60,193,01,20.586487356917786,,25.681068271765135
61,103,01,23.47757653133424,,29.729086223034738
61,105,01,22.422349894654452,,29.13045492376965
61,107,01,23.27619272367783,,29.331425092464436
61,109,01,24.11573591240886,,30.824933123226156
61,111,01,23.94612109880548,,30.135436875856495
61,113,01,22.958033801292903,,28.865180611137408
61,115,01,23.02488230068129,,28.86367492422722
61,117,01,23.65156101666328,,29.623077591771487
61,119,01,23.711365184852866,,30.668726490746376
61,121,01,23.20791679352569,,29.20433484040275
61,123,01,23.877504914095194,,29.8523711595932
61,125,01,24.075369335637102,,30.420661629342423
61,127,01,21.841761420029883,,26.607041727904836
61,184,01,19.14534947786239,,23.86239380723043
61,186,01,20.57903637273805,,24.06905405219221
61,189,01,20.277657736925956,,25.017214882213704
61,191,01,21.56333893310012,,26.03647174103937
61,193,01,20.37177311666081,,24.863515492882417
61,195,01,20.14308191415408,,23.466194308205317
62,103,01,23.120202067363362,,29.664823790033577
62,105,01,22.98870743264303,,30.04758184013997
62,107,01,23.91821815424496,,30.255736799201586
62,109,01,24.378921775401047,,31.24096470386955
62,111,01,23.25232108557481,,30.107617231548502
62,113,01,21.386432380657272,,27.276506498279335
