xco,yco,ensemble,mhwt1980,mhwt2020,mhwt2080
52,124,01,24.3276110141466,25.663515694080107,30.41609855248651
52,164,01,19.305309937792007,20.004278365609174,23.299474444524932
53,107,01,24.9191337714474,26.387586059317798,32.226597103384265
53,109,01,23.147872156826843,24.250464198470258,29.233467073681403
53,111,01,24.302268163070593,25.376334854840717,31.301552436277245
53,113,01,24.30603654101651,26.039732630908865,31.86360965594259
53,115,01,23.991028106125192,25.288779642944498,30.80045514745291
53,117,01,24.074491887484015,25.216395049178445,31.396237665300596
53,119,01,23.62437761402892,25.00603979279867,30.30381475839053
53,121,01,24.394946487613744,25.49265848677565,30.824797749886624
53,123,01,24.321729063580108,25.850589318954835,31.363982842104022
53,125,01,24.460539258696244,25.305962037187033,30.09976168661174
54,110,01,24.06393606256491,25.596534050988968,31.16657233574503
54,112,01,23.985810293572076,25.129047264884715,30.779485731786334
54,114,01,24.04343593635043,25.624162623590795,31.03719694800998
54,116,01,23.72683906692473,24.65848121199258,30.63777129745031
54,118,01,23.68534998146701,24.806089076026495,30.37819103168304
54,120,01,24.026731074938922,24.987881647500853,30.540474365438055
54,122,01,24.229790913920684,25.241970747324217,30.098181104411605
54,124,01,23.8757242209745,24.888063191993556,29.444164977742826
54,167,01,20.7780330426669,21.317685013623947,24.90349897937988
55,111,01,24.744949731086987,25.990761548742835,31.531259374553184
55,113,01,23.932604762154227,25.221441720587926,31.100145580194113
55,115,01,24.009627261811346,25.146886263594773,30.936377457310044
55,117,01,23.845333650700905,24.96762384404465,31.078758959420284
55,119,01,22.38538683208208,23.351123578230794,28.713317315496436
55,121,01,24.278702954068155,25.405317553872763,31.0480339426363
55,123,01,23.73410540217597,24.450096005725367,29.573966805944323
55,168,01,20.87244180350092,21.565581833156617,25.268168778903306
55,172,01,21.30032682180157,22.103577403629085,25.608829767077037
55,174,01,21.178096478469477,22.170768290011985,25.650447266242182
55,182,01,20.888516118401117,21.938809593256046,24.587873495425335
56,111,01,24.11625510075297,25.31170656382379,31.148469630339253
56,113,01,23.775440442385023,25.02308905744049,30.238570814357278
56,115,01,23.45245361978802,24.855924719747083,30.26937604429161
56,117,01,23.489800683903866,24.783266708790382,30.4993969810024
56,119,01,22.66089732677699,23.6029894020544,28.9252498414429
56,121,01,24.247132935530935,25.121071609251533,30.529765085487806
56,123,01,23.587135856252804,24.443555425303753,29.46453782512278
56,170,01,20.71758159895187,21.635833400362053,25.11144542142369
56,172,01,21.419247426295716,22.387291745055084,26.331172614521396
56,174,01,20.9203531785791,21.927633116587902,25.280321275222462
56,176,01,20.873212212673497,22.061377427449145,25.057404294222728
56,178,01,21.13332668272079,22.373870418937585,25.418711035458813
56,180,01,21.79896411368921,22.868863410327545,26.19804767086104
56,182,01,21.977898727857376,22.921224577047514,26.271883354764608
57,107,01,24.937995376774587,26.202671294052124,31.752823979730014
57,109,01,24.913650967182452,26.423918228146466,31.989066682130705
57,111,01,24.570297355297633,25.61600303413827,31.637054688856704
57,113,01,23.949003859501403,25.36794578964293,30.715934115974473
57,115,01,23.68251506365604,24.995393951286367,30.52729914485767
57,117,01,23.5977972378277,24.70374321159686,30.363426164558273
57,119,01,22.02496398897419,23.605015833004718,29.021611769965308
57,121,01,24.309658937885903,25.045170265750553,30.97420774791092
57,123,01,24.7708521258815,25.60383070885341,31.009203737408374
57,125,01,24.122543233927615,24.995310931163505,30.141459125438104
57,170,01,20.009443568081718,20.701119938899136,24.906200374942944
57,172,01,20.709574261521446,21.57423185459853,25.1889587256424
57,174,01,19.955324931419632,20.696142559773556,24.25070485496451
57,176,01,21.281367365108476,22.48282793877974,25.45083116418124
57,178,01,21.773011926099663,22.932706093200398,26.214435536821806
57,180,01,22.520716284515665,23.519730814794503,26.63702337180077
57,182,01,22.611186734658887,23.266702637184324,26.544481950637458
58,106,01,24.278822422649196,25.545162767541537,31.130330848651212
58,108,01,24.971842100084,25.805626486024657,32.27165505273414
58,110,01,24.857578278124993,26.51556354831658,31.701224972040645
58,112,01,24.639446676564177,25.827962706801845,31.167489570523784
58,114,01,24.261530343826127,26.11766536735453,31.57980186695942
58,116,01,23.964634639229672,25.047485489823668,30.746308503970155
58,118,01,24.206930388773678,25.19401135469857,30.2842618004245
58,120,01,22.599757990527465,23.298062295269816,29.497928838940748
58,122,01,24.161237097737157,24.740883925283626,30.22691867718025
58,124,01,24.73802667549887,25.840695971424065,31.362771042451993
58,126,01,22.50446566865719,23.76206912152779,28.50421680552607
58,177,01,20.630962460101344,22.39819398680481,25.57408679028282
58,179,01,21.263649561889864,22.303134206527186,26.09220156022428
58,181,01,22.149991455691893,22.980003166260552,26.47054612122352
58,183,01,21.886022008048418,22.661432836319882,25.82609958529823
59,106,01,24.24642353930111,25.309927465645607,31.660857771187903
59,108,01,25.166401408124425,26.350810494011803,32.30765559859648
59,110,01,24.99367310249829,25.97618455923051,31.6737114507519
59,112,01,24.798426048645453,26.534124616472685,31.50047172581975
59,114,01,24.346047402633893,25.775172795805293,31.466512257816824
59,116,01,24.230760214680636,25.792596618432356,31.670057407418184
59,118,01,24.48343826344646,25.791371275846362,31.251180064751836
59,120,01,22.664174664581996,23.57710962447171,28.340488324144935
59,122,01,23.31344393019203,24.522909279843162,28.650440602576094
59,124,01,23.690436703943597,24.503320739273583,29.08079085554237
59,126,01,22.594906325340116,23.774250831263558,27.56561858543098
59,156,01,19.96114618013664,20.749754843924325,24.95180867121692
59,180,01,20.778006817405938,21.685551843980118,25.09370667498147
59,182,01,21.185896917139203,21.666609592241475,25.199819518165384
60,103,01,24.07332707739052,25.62281570542948,31.502028059229662
60,105,01,23.468753060946597,24.55614676659078,30.148090702241728
60,107,01,24.748539427536333,25.9829756876468,32.43846725833002
60,109,01,25.63814795793424,27.15064153750063,32.51596100827051
60,111,01,25.0231686809473,26.278414658175556,31.945013318661196
60,113,01,24.177460905880857,25.538949616769695,30.698791705719465
60,115,01,24.804526714446382,26.12963055127944,30.665219025981813
60,117,01,24.046770036873017,25.023190008950685,30.527456326500268
60,119,01,24.91249080266867,26.29520105359638,31.50377208447482
60,121,01,23.50415190248134,24.73457487024169,29.582816887738158
60,123,01,24.053287607974124,25.247692082156508,30.341251273212766
60,125,01,24.512480826828842,25.85160610644181,30.518810734315217
60,127,01,23.109230575959632,24.471125539965,28.02682174242741
60,157,01,20.224002664327546,21.696959713467216,26.42642438465588
60,186,01,20.812549893750695,21.083873021652213,24.755844916058845
60,191,01,20.273787188428024,20.838066972154262,24.309510021078278
60,193,01,21.94896016542056,22.80542146890792,27.147992704035325
61,103,01,24.403509923123067,25.471449395608165,31.158274078665855
61,105,01,23.418531246589882,24.61820843475716,30.617974865344312
61,107,01,24.30129050921977,25.175097151344293,30.592110317607073
61,109,01,25.142290876265193,26.39750339538254,32.062350437979816
61,111,01,25.060706322140685,26.30860139920878,31.332929424151516
61,113,01,23.966212809589422,25.194132585530422,29.965631832535987
61,115,01,24.104559005921764,25.269719250638893,30.07853109632376
61,117,01,24.714478307067147,25.532832992806476,30.859905548606424
61,119,01,24.822493578249453,26.09774791636176,31.91256221222063
61,121,01,24.27826254903183,25.537972388727074,30.477474867408343
61,123,01,24.90286895342019,26.0439168334047,31.006784347441208
61,125,01,25.23666951159745,26.437500243777414,31.690737736780214
