xco,yco,ensemble,rp1_1980,rp1_2080,rp2_1980,rp2_2080,rp3_1980,rp3_2080,rp4_1980,rp4_2080,rp5_1980,rp5_2080,rp6_1980,rp6_2080,rp7_1980,rp7_2080,rp8_1980,rp8_2080,rp9_1980,rp9_2080,rp10_1980,rp10_2080
90,51,01,26.650142868172434,35.110013160321216,28.860608953965016,37.76652704046235,30.15855319348849,39.34349569710027,31.07168552999578,40.45790973624894,31.920901343387218,41.44450855465224,32.930716965259684,42.587875502492295,33.55784042315101,43.37609076185923,34.17241558828339,44.10844666123643,34.853339331665985,44.89398178589422,35.39381551670563,45.31170625808521
90,53,01,25.91587934410669,33.7405078514412,28.185129700685465,36.43215984876856,29.561859129318023,38.13744433431441,30.529666588618376,39.28631785434085,31.413789856152718,40.455329468973446,32.463096704258106,41.7667127343619,33.173223912811466,42.58876474442317,33.85558873555426,43.344283373308286,34.708113352790974,44.21205358964557,35.16578903173588,44.72631507253631
90,55,01,25.288440964809848,34.282653339692295,27.463073838995477,36.99047751127371,28.746444823698372,38.6172665377429,29.63981748203914,39.73959163147866,30.486654073382716,40.80991974179068,31.5427696332213,42.06434154150191,32.29539263121613,42.92973644766716,32.91770964577886,43.62891274133395,33.68095937440751,44.482978674932845,34.150731649743555,45.01221149584024
90,57,01,25.520993815876018,33.1298678943285,27.71582300660292,35.9746272461941,28.9597194595812,37.6478891263705,29.818232704794774,38.79008668083041,30.61753905581096,39.842336127267245,31.55264772025987,41.13289061512647,32.23205139602829,42.01632116461225,32.850788641225094,42.841630517781454,33.57359810201257,43.82070206306956,34.1058943874367,44.485017610677325
90,59,01,25.12987586580016,32.949860994154534,27.262038748162638,36.063831704529385,28.44675234970412,37.75003421343425,29.261484229075386,38.890519095005565,30.032979850459455,39.96187927352025,30.995432344825087,41.281896424120944,31.66288276678256,42.26400672994025,32.31388903030622,43.14710928909872,33.08092330625357,44.31000512937255,33.556787798312484,45.002358836813386
90,75,01,24.741034660967657,32.972596533822006,26.648859641931246,36.29229800768052,27.74659410396488,38.33492112671467,28.520080431588028,39.760774803371454,29.257787482587805,41.13543122221495,30.144715271554155,42.854544656440716,30.862151484102757,44.190954875229366,31.43477801964762,45.29963032236069,32.26889301463243,46.710246025560096,32.777812446004674,47.56816847888054
90,77,01,24.755856139539258,34.13061047319967,26.757953016980256,37.44959977527253,27.97024348707618,39.16708899383874,28.82554164728977,40.357034747822446,29.62785609611427,41.43881219015077,30.644083497467008,42.804715891771934,31.43594411436222,43.73417841115959,32.23301624777956,44.61270210394272,33.210241487150654,45.99986819179206,33.879066225130224,46.825533509897234
90,79,01,25.25358706649806,33.0938828829381,27.466998639230003,36.39096241126815,28.715554490088678,38.271057543404645,29.599744522728393,39.592764047289066,30.444162621152714,40.864138047440015,31.513460073916395,42.47539763248173,32.296459073098006,43.698625328826225,32.985296340531235,44.83167966614229,33.76511114893956,46.31370229886171,34.351706155997796,47.366800132005395
90,81,01,26.025254611722776,34.91046046120904,28.241404654102904,38.71530863898452,29.528569710405407,40.80315830667499,30.445539347728488,42.24661577416205,31.33043560096369,43.515775910787156,32.36665038760645,45.13877034269598,33.1596848492842,46.24098442443898,33.835657926850345,47.39347114410102,34.75343531069331,48.71597815492129,35.295367654667054,49.5361289602696
90,83,01,25.797021596054826,34.14292526245117,28.20865980966681,37.8416879682253,29.673570123156665,39.9150664452268,30.771997152190437,41.359608294797624,31.89334160795132,42.758606958294784,33.329424816053255,44.495587339645795,34.24640960771727,45.739449321180274,35.19966193900177,47.006390994657266,36.61484877517272,48.37204637111159,37.81015838996345,49.42153464981775
90,85,01,24.078270238862594,30.628103137637122,26.52942696438443,33.76897579648823,27.99419390917673,35.76899023105696,29.00970126876281,37.199117638791414,29.965095804415014,38.66893775823181,31.273167292401826,40.549946755326026,32.239045254315215,41.99015710712408,33.12223008679528,43.278271408285775,34.23463694090903,45.38238638534388,35.05907108813909,46.83971071439147
90,115,01,22.657739384751554,29.3729222800455,24.466356150200482,31.91903761653093,25.45533561874055,33.31194243690585,26.141586719009325,34.21073514749981,26.770461500269562,35.0350776044086,27.68107995175385,36.0476024472813,28.24398299661837,36.681425747046205,28.766532548927337,37.42315763401564,29.35252919402526,38.06124003394134,29.718412536273036,38.69324091892892
90,117,01,24.16448297476732,31.118840771518936,26.137052178084396,33.67581665913462,27.194836023757585,35.01807516210053,27.908132969885386,35.904428323626576,28.57647627412883,36.69388050572085,29.42919148287438,37.653084018662646,30.103295635041924,38.38745342246402,30.8579950672204,39.14076934496235,31.638370246833617,40.17499647119611,31.980686116093867,40.60470828236037
90,120,01,24.78825305652806,31.613426793690792,26.860627701045562,34.59777808893556,27.987957356929996,36.20058247587447,28.755701445007553,37.22657156933343,29.431263552406428,38.14862957564063,30.23697901387301,39.22354527921162,30.784561738222767,39.91096358011805,31.266605545653018,40.50307219630842,31.85375425110892,41.25344479589593,32.26654541610266,41.77398992243337
90,122,01,24.104711024048175,30.843318941335518,26.13226556046244,33.77897396119545,27.220121565743888,35.23775953296037,27.918766352405065,36.13023031267702,28.541504417874638,36.937188348924316,29.26811154843614,37.841387746971456,29.767832132818977,38.46309008503013,30.192371115861366,38.92309266187834,30.790189696196236,39.65092589322231,31.148343765567834,40.0854496054753
90,124,01,24.025391635668957,30.281382612047718,25.945189546621712,32.703192476734365,26.925439010738536,33.97557013505233,27.56849999099063,34.79223766669023,28.13670124934968,35.54047237784336,28.89816344275269,36.34790112111584,29.37417280981236,36.90365710092765,29.813524288137955,37.38084526861191,30.27259227087348,37.96500709754427,30.647691178455602,38.4454365007946
90,126,01,24.370154635087644,31.067806894170833,26.504351865442793,33.616324164818096,27.637244966506245,34.8824634816532,28.377275749524316,35.70673886233365,28.99769493515845,36.44840934514673,29.74014487348318,37.34893888221873,30.27180834831542,37.91024734961284,30.74428060583177,38.36504134635564,31.31109922153783,38.98809335898638,31.719137560509004,39.45347501291505
90,128,01,24.42197116354577,30.752695196420333,26.54704612400968,33.247548720657974,27.65493573661853,34.54568882371392,28.360013815181798,35.352686250202,28.986252871315713,36.049830189879245,29.73091648970921,36.887176000766694,30.264860987789916,37.5624081276805,30.65508971504764,38.04187756071126,31.202543918034486,38.61106129613548,31.637472609948308,39.08750593262975
90,130,01,23.837597770128284,31.546714699754794,26.114484225607903,34.56648060548666,27.42962390388782,36.08066937818816,28.296417226434677,37.07700469156214,29.09273891181608,37.92115303017346,30.02421843359663,38.949086852998924,30.66716721388191,39.64563465056188,31.338638545104633,40.18752331161522,32.1614351459327,40.78961376263115,32.5065782217169,41.20760697474364
90,132,01,24.9891936416994,33.31269149538649,27.24181944661892,36.53409975298038,28.46686673784413,38.132607348541,29.25903391463044,39.12556157426994,29.96515727292671,40.01260532066546,30.781891043894237,41.036128331888925,31.31700796729267,41.681380406326085,31.796594763901634,42.268553016377126,32.44110232048224,42.93982187493113,32.824452346027954,43.31678615916678
90,134,01,25.011555051308356,32.84493274831488,27.17317362186284,35.903106200171614,28.384163932404107,37.48951913847895,29.208737193505183,38.47517030203892,29.94914470865569,39.35570723903869,30.755171171521216,40.33004510396783,31.283978908943876,40.96704534812707,31.784885219533045,41.58307284335675,32.358828371288595,42.24154292799009,32.6570079402526,42.66494776936874
90,136,01,24.84142297726596,31.7474085912817,26.880599999591325,34.55449797301918,28.025260154735072,36.05812937413678,28.788343422886104,37.0136822721615,29.484390898572833,37.89596929335319,30.322027757741296,38.954693734888934,30.894717406287427,39.71520828033886,31.390882421480544,40.485067186987166,32.049678462196276,41.16451125106804,32.426969662864906,41.627506638029736
90,138,01,24.05966682917386,30.937025054560145,26.015867871643977,33.32504270897909,27.066079421763376,34.55599517665963,27.760839167477066,35.36627615983583,28.39060205612156,36.0566654107633,29.10209831966688,36.903264593692995,29.59413373549156,37.47298839382438,30.083346402483926,38.02783080498314,30.601925509293842,38.6819210690135,30.92544216676275,39.04411552989116
90,140,01,25.629609639343766,33.0507713796649,27.63257192069122,35.83753904205595,28.74056649577226,37.194291894851034,29.48889690202001,38.05222758604032,30.147497872495194,38.80608478212184,30.91443215654875,39.663823276994876,31.431552059622426,40.16081203419699,31.88750440614795,40.65204841316198,32.46906916994779,41.14422842328318,32.85636970222707,41.56791910171141
90,142,01,25.24608576523983,32.605236305421045,27.23575435270637,34.98462802869271,28.306766506865607,36.17725583382574,29.034341280657408,36.94818354592137,29.71725400617047,37.6402384143575,30.49110633947717,38.44349084701549,31.01801245776778,39.01468136865837,31.449254214538357,39.48593193332629,32.040415516544584,40.09542200559259,32.29233362797027,40.40573419917912
